"Схема","Таблица","Поле","Тип","Ссылка на","Обязательность","Комментарий"
"tent","restruct_info","restruct_type","reference","restructions","not null","Тип реструктуризации"
"tent","credit_holidays","request_date","date","","not null","Дата обращения"
"tent","credit_holidays","reason","varchar(255)","","null","Обстоятельство для требования"
"tent","credit_holidays","date_start","date","","null","Дата начала льготного периода"
"tent","credit_holidays","grace_type","integer","","null","Тип льготного периода"
"tent","credit_holidays","date_end","date","","null","Плановая дата окончания льготного периода"
"tent","credit_holidays","date_end_fact","date","","null","Фактическая дата окончания льготного периода"
"tent","credit_holidays","reason_to_finish","varchar(255)","","null","Причина прекращения льготного периода"
"tent","prolongation","new_duration","integer","","not null","Длительлность договора"
"tent","prolongation","date_end","date","","null","Плановая дата окончания Договора"
"tent","prolongation","date_end_shift","date","","null","Плановая дата окончания (с учетом переноса)"
"tent","regulation","reason_doc_type","integer","","null","Тип документа"
"tent","regulation","doc_date","date","","not null","Дата документа"
"tent","regulation","doc_number","varchar(255)","","null","Номер документа"
"tent","regulation","amount","numeric(18,8)","","null","Сумма к переносу"
"tent","regulation","rest_interest","numeric(18,8)","","null","Ставка на остаток"
"tent","regulation","new_ps_type","integer","","null","Тип графика"
"tent","regulation","end_date","date","","null","Срок завершения"
"tent","tranch_merge","dest_trance","reference","dog_info","not null","Транш приемник"
"tent","tranch_merge","date_end","date","","null","Новая дата окончания"
"tent","tranch_merge","doc_type","integer","","null","Тип документа"
"tent","tranch_merge","doc_date","date","","null","Дата документа"
"tent","tranch_merge","doc_number","varchar(40)","","null","Номер документа"
"tent","source_tranches","src_tranche","reference","dog_info","null","Транш источник"
"tent","restruct_info","","","","","Основные данные"
"tent","credit_holidays","","","","","Кредитные каникулы"
"tent","prolongation","","","","","Пролонгация"
"tent","regulation","","","","","Урегулирование просрочки"
"tent","tranch_merge","","","","","Перенос на один транш"
"tent","source_tranches","","","","","Список траншей источников"

