id;version;effective_date_start;effective_date_end;created_at;created_by;updated_at;updated_by
1;download hopeful;2025-02-20;2025-02-21;2025-02-21;inside;2025-02-21;staircase closet
2;on meh scarification;2025-02-21;2025-02-20;2025-02-20;behind eventually;2025-02-21;fantastic
3;diligently;2025-02-21;2025-02-21;2025-02-21;warmly opposite from;2025-02-20;vice
4;puff;2025-02-21;2025-02-21;2025-02-20;boomerang darn;2025-02-21;boar atrophy
5;overdraw;2025-02-21;2025-02-21;2025-02-21;deflate;2025-02-20;survive muss
6;who wetly;2025-02-21;2025-02-21;2025-02-21;boatload trifle positive;2025-02-21;studio elderly
7;uh-huh sneaky;2025-02-21;2025-02-21;2025-02-21;qua yum bridge;2025-02-20;briefly along phooey
8;over;2025-02-20;2025-02-21;2025-02-21;eek hopelessly greatly;2025-02-21;daily
9;incidentally;2025-02-21;2025-02-21;2025-02-21;but;2025-02-21;within presume
10;accoutre;2025-02-20;2025-02-20;2025-02-21;blissful commune;2025-02-21;inasmuch rapidly
