id;is_mandatory;created_at;created_by;updated_at;updated_by
1;false;2025-02-21;finally hm;2025-02-21;while
2;true;2025-02-21;how;2025-02-21;willfully
3;false;2025-02-21;maid until;2025-02-21;unnatural now
4;false;2025-02-21;quizzically till save;2025-02-20;rose phew
5;true;2025-02-21;whoa farrow;2025-02-20;but
6;false;2025-02-21;vibrant;2025-02-21;playfully discretion ack
7;false;2025-02-21;dame likewise;2025-02-20;toward
8;false;2025-02-20;however owlishly brightly;2025-02-21;philosophize dot
9;true;2025-02-20;powerfully;2025-02-21;seemingly
10;true;2025-02-21;proselytise;2025-02-21;unused that
