id;code;name;created_at;created_by;updated_at;updated_by
1;ordinary huzzah;fancy eject drizzle;2025-02-21;ostracize;2025-02-21;judgementally
2;concerning behind netbook;rapidly phooey well;2025-02-21;justification shrilly thunderous;2025-02-21;deep
3;first yet;underneath misplace;2025-02-21;finished hmph;2025-02-21;quietly despite mentor
4;suit;for lacquer qua;2025-02-21;since;2025-02-21;oof swish
5;an;jeopardize intervention though;2025-02-20;beside;2025-02-21;among
6;now;of;2025-02-21;real middleman;2025-02-21;bran impressionable
7;melodic;gladly ah what;2025-02-20;e-reader;2025-02-20;pagoda good
8;although by;shop yuck;2025-02-20;almanac through;2025-02-21;furthermore overjoyed
9;mild;genius since;2025-02-21;meanwhile;2025-02-21;far gah
10;yippee;geez hastily brr;2025-02-20;rowboat;2025-02-21;yet
