id;stereo_type;name;caption;documentation
1;SINGLE_ROW;parallelism lumen Gorgeous;contingency parsing;protocol turquoise Account
2;SINGLE_ROW;invoice;Wagon;while Moines relationships
3;SINGLE_ROW;West backing West;Analyst;Minivan yippee Plastic
4;SINGLE_ROW;Toyota;female dynamic;redundant Electric Synchronised
5;SINGLE_ROW;East green;Sleek Chief;Hammond Electronic
6;COLLECTION;Intelligent Bicycle project;Chair Auto Handmade;repellat
7;TREE;Books synthesize;mooch Peso;Dynamic male ivory
8;SINGLE_ROW;Markets;Bicycle;Buckinghamshire
9;TREE;indexing Gasoline tremendously;Rouge viciously;Van Coupe despite
10;TREE;Marc Plastic navigate;hybrid Optional;South newton transmitter
