id;stereo_type;name;caption;documentation
1;TREE;Books;XML;Buckinghamshire
2;COLLECTION;lux Montserrat Rustic;Crew;West
3;COLLECTION;vero Cheese Silicon;Buckinghamshire bandwidth;kelvin Chair
4;COLLECTION;Bicycle brr payment;connecting;holistic drafty
5;SINGLE_ROW;Laredo La;foreground;Spain Sedan
6;TREE;payment Account;Chattanooga 1080p;Towels Intelligent
7;COLLECTION;schemas however Palladium;calculate Michigan;Tennessine
8;SINGLE_ROW;shimmering;Transgender;Fantastic Blues West
9;TREE;Future Schaefer;Southeast;scalable voluptatibus
10;TREE;withdrawal transmit composed;Woman;Renner distributed Diesel
