id;stereo_type;name;caption;documentation
1;TREE;North Peso;Assistant Gadolinium East;South
2;TREE;brisket;strategic generating Designer;within Bahamian
3;TREE;GB male reboot;male;orange engage Kuwait
4;COLLECTION;Tools eyeballs Dynamic;AGP redundant;East Tunisian quixotic
5;SINGLE_ROW;circular;Wagon 1080p;Ford
6;COLLECTION;Developer diaphragm Communications;Fantastic;California
7;TREE;grey Liaison Director;Gallium North synthesize;loftily Shilling
8;SINGLE_ROW;nihil;Lamborghini illum similique;huzzah
9;TREE;bypassing Cab;a Bespoke withdrawal;Incredible models North
10;SINGLE_ROW;Northeast;bypass technologies;yuck successfully Persistent
